Search term,Campaign,Ad group,Match type,Added/Excluded,Clicks,Impr.,Cost,Conversions,RECOMMENDATION,NEG LEVEL,REASON
girls lacrosse camp long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
what size soccer ball for age 5,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
basketball camp nassau county,CM - Non Brand - PMax,--,Performance Max,None,1,3,2.06,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'nassau'
long island ny,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
drills to improve ball handling,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'drills'
camps r us,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'camps r us'
how to play tennis left handed,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
kids workout videos,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'workout'
8 year old baseball drills,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'drills'
best playground on long island,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
future stars flag football,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in pMax - should go to branded campaign
camps r us williston park,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'camps r us'
free family things to do on long island this weekend,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
sports camps westchester ny,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: ' ny'
ymca summer camp queens ny,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: ' ny'
kenwal day camp long island day camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
camp melville,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'melville'
long island football camps,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
things to do with toddlers long island,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
what size soccer ball u8,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
what size soccer net for 12 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
softball clinics long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
best tee drills for baseball,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'drills'
how to improve kids confidence,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
future stars st joseph's,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in pMax - should go to branded campaign
youth camp counselor jobs,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'jobs'
football camp long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
new york sports academy,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'new york'
suny old westbury campus tour,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'westbury'
how to control your dribble in basketball,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
future stars swim camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in pMax - should go to branded campaign
swim lessons nassau county,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'nassau'
summer camps jobs near me,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'jobs'
long island basketball camps,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
volleyball camps long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
how to dribble in rocket league,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
kids camp jobs near me,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'jobs'
what size soccer ball for an 11 year old boy,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
oasis day camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'oasis day camp'
summer camp near me hiring,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'hiring'
syosset swim,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'syosset'
kenwal camp,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'kenwal camp'
horse boarding long island,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
soccer camps long island,CM - Non Brand - PMax,--,Performance Max,None,1,3,1.30,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
camp hiring,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'hiring'
what size tennis racket for 8 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
what size tennis racquet for a 9 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
future stars lacrosse,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in pMax - should go to branded campaign
sleepaway camps,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'sleepaway'
camp sunshine long island,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
ivy league camp smithtown,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'smithtown'
nassau county camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'nassau'
suffolk summer camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'suffolk'
micah lancaster dribbling drills,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'drills'
what are the soccer ball sizes,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'ball size'
future stars day camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in pMax - should go to branded campaign
summertech purchase ny,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: ' ny'
how to catch tennis ball with racket,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
basketball drills to improve dribbling,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'drills'
nassau community college volleyball,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'nassau'
summer camp farmingdale ny,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: ' ny'
what size tennis racket for 8 year old,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
volleyball leagues long island,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
camps r us locations,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'camps r us'
golf lessons long island,CM - Non Brand - PMax,--,Performance Max,None,0,5,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
what size tennis racket for a 5 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
jobs for kids for the summer,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'jobs'
future stars purchase,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in pMax - should go to branded campaign
best soccer academy in long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
soccer camp long island,CM - Non Brand - PMax,--,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
sleepaway camp for teens,CM - Non Brand - PMax,--,Performance Max,None,0,4,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'sleepaway'
baseball training long island,CM - Non Brand - PMax,--,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
summer camp long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
volleyball camp westchester ny,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: ' ny'
free summer camp yonkers ny,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: ' ny'
camp nyc bluey,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: ' ny'
best sleepaway camp,CM - Non Brand - PMax,--,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'sleepaway'
nassau county camps,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'nassau'
long island soccer,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
future stars suny purchase,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in pMax - should go to branded campaign
camps r us farmingdale 50 cherry st farmingdale ny 11735,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: ' ny'
camp jericho ny,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: ' ny'
volleyball camps on long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
how to juke in soccer,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
open play long island,CM - Non Brand - PMax,--,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
future stars camp long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
camps r us bellmore,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'camps r us'
what size tennis racket for 9 year old boy,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
summer camp jobs yonkers ny,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: ' ny'
sleep away summer camp near me,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'sleep away'
farmingdale state college summer camp,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'farmingdale'
future stars diving camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in pMax - should go to branded campaign
farmingdale volleyball camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'farmingdale'
fs camps,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in pMax - should go to branded campaign
nassau county aquatic center,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'nassau'
what size soccer ball for 7 year old,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
volleyball camp westchester ny,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: ' ny'
oasis camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'oasis camp'
summer camps in nassau county,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'nassau'
soccer stars long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
how to play soccer tennis,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
flag football camp long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
camp w,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'camp w'
park in long island,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
sleepaway camp jobs,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'sleepaway'
camps r us baldwin,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'camps r us'
summer camps in white plains ny,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: ' ny'
long island splash pad,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
fairs in long island,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
kenwal day camp cost,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'kenwal day camp'
what size soccer ball for 9 year old boy,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
volleyball camps in long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
future stars lacrosse camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in pMax - should go to branded campaign
long island cheer,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
summer camp jobs for teens,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'jobs'
li surge volleyball,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'li '
long island baseball leagues,CM - Non Brand - PMax,--,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
hockey camp long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
summer camps hiring,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'hiring'
active kidz long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
suny farmingdale summer camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'farmingdale'
old westbury summer camp tuition,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'westbury'
hofstra camp,CM - Non Brand - PMax,--,Performance Max,None,1,4,12.77,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'hofstra camp'
long island lacrosse camp,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
rising stars basketball long island,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
long island health and racquet summer camp,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
susa long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
lacrosse camp long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
workout classes sag harbor,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'workout'
golf camps long island,CM - Non Brand - PMax,--,Performance Max,None,0,4,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
school syosset,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'syosset'
li ducks camp,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'li '
how to dunk,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
summer camp careers near me,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'career'
future stars baseball camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in pMax - should go to branded campaign
golf camp long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
basketball drills,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'drills'
children's museum on long island,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
farmingdale cheerleading,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'farmingdale'
luhi summer camp,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term: 'luhi summer camp'
club volleyball long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
soccer camp nassau county,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'nassau'
nassau community college men's volleyball,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'nassau'
swimming classes long island,CM - pMax - Portland (MxConv),--,Performance Max,None,0,0,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
tennis lessons suffolk county long island,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
camps in long island ny,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
learn how to swim near me,CM - Non Brand - PMax,--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
ymca of long island,CM - Non Brand - PMax,--,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
what size racket for 7 year old,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
soccer long island ny,CM - Non Brand - PMax,--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
