Search term,Campaign,Ad group,Match type,Added/Excluded,Clicks,Impr.,Cost,Conversions,RECOMMENDATION,NEG LEVEL,REASON
fscamp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in nonbranded campaign - add as negative
kids soccer ball sizes by age,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'ball size'
how to measure tennis racket size,CM - pMax - Portland (MxConv),--,Performance Max,None,1,2,0.33,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
scarsdale camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
southampton camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,1,3,33.07,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
merrick woods camp,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,1,1,2.85,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
camps for 14 year old,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
westchester county camps,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,6,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
ymca sleepaway camps,CM - pMax - Portland (MxConv),--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'sleepaway'
town of hempstead camps,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
usa talent id camp,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
mygym camp,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
how to dribble good in soccer,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
driftwood camp melville,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'driftwood camp'
u11 soccer ball size,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'ball size'
what size soccer ball for 9 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
hofstra summer camp schedule,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'hofstra summer camp'
camp june 23,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
kids gym westchester,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
donovan mitchell camp,CM - Nonbranded - Other Geos (MxConv),Basketball Camp,Phrase match (close variant),None,0,4,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Basketball Camp'
hofstra summer camp 2026,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,3,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'hofstra summer camp'
sleepaway summer camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'sleepaway'
summer explorers camp,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
top 100 camp 2025,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Basketball Camp'
baseball tips for little league,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'tips for'
kids sport near me,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
sag harbor camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
kid soccer ball sizes,CM - pMax - Portland (MxConv),--,Performance Max,None,1,2,1.57,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'ball size'
driftwood day camp cost,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'driftwood day camp'
soccer drills for 12 year olds,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'drills'
what size soccer ball for 6 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,0,4,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
how to sail an optimist,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
kidstrong,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,5,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
rec center camps,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
pierce day camp long island,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'pierce day camp'
camp westchester,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
primetime camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
long island camps,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
what size ball does u12 soccer use,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
camp iconic bellmore,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
what size ball for 12 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
volleyvall near me,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,Exact match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Volleyball Camps'
next level camps,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,3,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
ballet camps summer 2026,CM - Nonbranded - Other Geos (MxConv),Dance Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Dance Camps'
driftwood day camp prices,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,1,1,2.97,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'driftwood day camp'
what size tennis racket for 10 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,1,2,2.82,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
kids strong camp,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
pierce day camp prices,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'pierce day camp'
camp rince ceol,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Dance Camps'
adventure camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
aab summer intensive,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Dance Camps'
sua sponte camp,CM - Nonbranded - Other Geos (MxConv),Lacrosse Camps,Phrase match (close variant),None,0,3,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Lacrosse Camps'
sleepaway camp packing,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'sleepaway'
steady buckets,CM - Nonbranded - Other Geos (MxConv),Basketball Camp,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Basketball Camp'
camp in long island,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
acting classes for kids nyc,CM - pMax - Portland (MxConv),--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: ' ny'
ballet summer intensives,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Dance Camps'
camp condor white plains,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
long island university football camps,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,NY/LI geography in Portland campaign: 'long island'
91 camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
what size ball for 10 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
girls and boys camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
just for kicks east islip,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
southampton camp and club,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
good hitting drills for youth baseball,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'drills'
kid strong,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
piers camp,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
malik nabers camp,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,Phrase match (close variant),None,1,4,2.63,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Football Camps'
horse camp,CM - Nonbranded - Geo Priorities (MxCx),Horseback Riding,Exact match (close variant),None,0,10,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Horseback Riding'
camp for 13 year old boy,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
luhi summer camp schedule,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'luhi summer camp'
unh prospect camp,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Volleyball Camps'
wantagh park camp,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,4,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
jaxson dart camp,CM - Nonbranded - Other Geos (MxConv),Football Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Football Camps'
hamptons camps,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,4,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
camps for underprivileged youth,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
ballet intensives summer 2026,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Dance Camps'
kid camps,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
fscamp,CM - Nonbranded - Geo Priorities (MxCx),Sports Camps,Phrase match (close variant),None,1,1,0.15,0.00,ADD NEGATIVE,CAMPAIGN,Brand term in nonbranded campaign - add as negative
ballet camps,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Dance Camps'
how to play golf for beginners,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
how much is the joffrey summer intensive,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Dance Camps'
camps r us long island,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'camps r us'
what size soccer ball for 8 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
camps long island,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,1,35,2.60,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
camp for teens summer,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Exact match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
karl towns camp,CM - Nonbranded - Other Geos (MxConv),Basketball Camp,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Basketball Camp'
camps r us hicksville calendar,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'camps r us'
camps r us locations,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,5,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'camps r us'
westchester recreation,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
tennis footwork drills,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'drills'
what size tennis racquet for a 6 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
programs for the summer for kids,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
westchester camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
game 7 camp,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Basketball Camp'
jaxson dart camp,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,Phrase match (close variant),None,2,10,5.39,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Football Camps'
local camps,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
atletico camp,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
luhi camp,CM - Nonbranded - Geo Priorities (MxCx),Sports Camps,Phrase match (close variant),None,0,4,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'luhi camp'
child camp,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
shibley day camp warner avenue roslyn heights ny,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'shibley day camp'
george pickens camp,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Football Camps'
southampton soccer camp,CM - Nonbranded - Other Geos (MxConv),Football Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Football Camps'
what size tennis racquet for 5 year old,CM - pMax - Portland (MxConv),--,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
summer fun camp,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
all stars camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,1,1,0.12,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
ross camp hamptons,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
boys and girls club camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,5,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
psg camp,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
austin reeves camp,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Basketball Camp'
bballstars,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Basketball Camp'
camps r us near me,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,11,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'camps r us'
boys and girls club camp hours,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
what size tennis racket for 10 year old boy,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'what size'
suny purchase camps,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,2,1,34.72,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
how to help shy toddler,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,ACCOUNT,Wrong intent signal: 'how to'
elmsford camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
shibley day camp cost,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,2,0.00,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'shibley day camp'
camp summit,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
hofstra summer camp 2026,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,4,22,11.42,0.00,ADD NEGATIVE,CAMPAIGN,Competitor term in nonbranded campaign: 'hofstra summer camp'
jalen brunson camp,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Basketball Camp'
