Search term,Campaign,Ad group,Match type,Added/Excluded,Clicks,Impr.,Cost,Conversions,RECOMMENDATION,NEG LEVEL,REASON
costa rica vacations,Search - Resor,Vacation Packages,Exact match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
southwest to costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,2,2,3.18,0.00,OK,,Appears relevant - luxury package buyer intent
trafalgar costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
uvita surf and tour costa rica,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
best snorkeling spots in costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
all inclusive packages to costa rica,Search - Resor,All-Inclusive & Custom,Exact match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
all inclusive costa rica trips,Search - Resor,All-Inclusive & Custom,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
hilton costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,1,1,1.94,0.00,OK,,Appears relevant - luxury package buyer intent
groupon to costa rica,Search - Resor,Vacation Packages,Phrase match (close variant),None,1,2,5.28,0.00,OK,,Appears relevant - luxury package buyer intent
intrepid costa rica,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
all inclusive vacation packages to costa rica,Search - Resor,All-Inclusive & Custom,Exact match (close variant),None,1,2,3.69,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica christmas,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
tour costa rica,Search - Resor,Trip planner,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica packages costco,Search - Resor,Vacation Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
tavo tours costa rica,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica family vacation,Search - Resor,Family Packages,Exact match (close variant),None,1,1,3.03,0.00,OK,,Appears relevant - luxury package buyer intent
boston to san jose costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica family vacation packages,Search - Resor,Family Packages,Exact match,Added,0,4,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica luxury tours,Search - Resor,Luxury Packages,Exact match (close variant),None,1,1,5.15,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica adults only all inclusive,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,1,2,2.63,0.46,OK,,Has converted - protected from negation
arenal rides costa rica,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
la to costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
5 day costa rica vacation package,Search - Resor,Vacation Packages,Phrase match (close variant),None,1,1,2.14,0.00,OK,,Appears relevant - luxury package buyer intent
things to in costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
visiting costa rica,Search - Resor,Travel Packages,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
san jose costa rica tours,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,1,2,2.97,0.00,OK,,Appears relevant - luxury package buyer intent
costco costa rica packages,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costco costa rica packages,Search - Resor,Vacation Packages,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica tours,Search - Resor,Trip planner,Exact match (close variant),None,1,8,6.63,0.00,OK,,Appears relevant - luxury package buyer intent
哥斯达黎加 旅行,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
actividades para hacer en costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica all inclusive,Search - Resor,All-Inclusive & Custom,Exact match (close variant),None,5,45,17.13,0.00,OK,,Has converted - protected from negation
trips to costa rica 2027,Search - Resor,Vacation Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica family vacations,Search - Resor,Family Packages,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica from nyc,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
best areas to visit in costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
traveling to costa rica with kids,Search - Resor,Family Packages,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica all inclusive packages,Search - Resor,All-Inclusive & Custom,Exact match,Added,2,15,4.64,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica packages all inclusive,Search - Resor,All-Inclusive & Custom,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
papagayo costa rica all inclusive,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
traveling to costa rica,Search - Resor,Trip & Vacation,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica honeymoon tour,Search - Resor,Honeymoon & Romance,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
san jose costa rica sjo,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
hilton guanacaste costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
kosher jaco costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Has converted - protected from negation
costa rica tours,Search - Resor,Travel Packages,Exact match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
all inclusive resort costa rica,Search - Resor,All-Inclusive & Custom,Exact match (close variant),None,0,4,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
planning a trip to costa rica with kids,Search - Resor,Family Packages,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
what should i do in costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica tour packages all inclusive,Search - Resor,All-Inclusive & Custom,Exact match (close variant),None,0,4,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
all inclusive costa rica,Search - Resor,All-Inclusive & Custom,Exact match (close variant),None,2,13,4.38,0.48,OK,,Has converted - protected from negation
costa rica vacations,Search - Resor,Trip & Vacation,Exact match (close variant),Added,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
rio celeste costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica all inclusive vacation packages,Search - Resor,All-Inclusive & Custom,Exact match,Added,0,6,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
travel agency to costa rica,Search - Resor,Trip planner,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica vacations in december,Search - Resor,Trip & Vacation,Phrase match (close variant),None,1,1,2.07,0.00,OK,,Appears relevant - luxury package buyer intent
best costa rica vacation packages all inclusive,Search - Resor,All-Inclusive & Custom,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica ritz carlton,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costco costa rica all inclusive,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
fora travel costa rica,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
the best all inclusive resort in costa rica,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
monkey tours costa rica,Search - Resor,Travel Agent & Agency,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
tortuga island costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica vacations,Search - Resor,Vacation Packages,Exact match (close variant),None,0,3,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
snorkeling costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica bungalows all inclusive,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
golf in costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
tamarindo to sjo,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
all inclusive costa rica vacation packages,Search - Resor,All-Inclusive & Custom,Exact match (close variant),None,1,7,4.96,0.00,OK,,Appears relevant - luxury package buyer intent
tour costa rica,Search - Resor,Travel Packages,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica round trip,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
summer camps in costa rica for kids,Search - Resor,Family Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica vacations,Search - Resor,Vacation Packages,Exact match (close variant),None,1,6,2.06,0.00,OK,,Appears relevant - luxury package buyer intent
all inclusive resort costa rica adults only,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
trip to costa rica price,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
surf in costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
westin all inclusive costa rica,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
safari tours costa rica,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costco trip to costa rica,Search - Resor,Vacation Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
places to see in costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
bachelor party costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica ziplining,Search - Resor,Travel Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
4 season costa rica,Search - Resor,Trip & Vacation,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
all inclusive in costa rica for families,Search - Resor,All-Inclusive & Custom,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica packages costco,Search - Resor,Vacation Packages,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant - luxury package buyer intent
costa rica tour,Search - Resor,Trip & Vacation,Exact match,Added,1,5,3.80,0.00,OK,,Appears relevant - luxury package buyer intent
