Campaign,Ad group,Keyword,Type,Keyword match type
Search - Resor,Travel Agent & Agency,costa rica retirement tours,Negative,Exact
Search - Resor,Travel Agent & Agency,valle dorado tours costa rica,Negative,Exact
Search - Resor,Luxury Packages,the springs resort and spa costa rica,Negative,Exact
Search - Resor,,westin costa rica all inclusive,Campaign negative,Exact
Search - Resor,,must do things in costa rica,Campaign negative,Exact
Search - Resor,Trip planner,tour to costa rica,Negative,Exact
Search - Resor,Trip planner,costa rica best trip,Negative,Exact
Search - Resor,Trip planner,trip to costa rica for two,Negative,Exact
Search - Resor,Travel Agent & Agency,costa rica monkey tours,Negative,Exact
Search - Resor,,where to stay in costa rica,Campaign negative,Exact
Search - Resor,,costco travel costa rica,Campaign negative,Exact
Search - Resor,,costco travel packages to costa rica,Campaign negative,Exact
Search - Resor,All-Inclusive & Custom,dreams la mareas,Negative,Exact
Search - Resor,Travel Agent & Agency,macua tours costa rica,Negative,Exact
Search - Resor,All-Inclusive & Custom,dream las mareas costa rica,Negative,Exact
Search - Resor,,tabacon resort costa rica,Campaign negative,Exact
Search - Resor,,costco travel costa rica,Campaign negative,Exact
Search - Resor,,vacaciones 15 dias en costa rica,Campaign negative,Exact
Search - Resor,All-Inclusive & Custom,dreams las mareas costa rica,Negative,Exact
Search - Resor,,costa rica december itinerary,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,costa rica local tour companies,Negative,Exact
Search - Resor,Trip planner,tours in costa rica,Negative,Exact
Search - Resor,,excursiones en costa rica,Campaign negative,Exact
Search - Resor,,excursion in costa rica,Campaign negative,Exact
Search - Resor,,the westin costa rica,Campaign negative,Exact
Search - Resor,Luxury Packages,costa rica villa with chef,Negative,Exact
Search - Resor,,costa rica with kids itinerary 7 days,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,geo expedition cr,Negative,Exact
Search - Resor,,costa rica paquetes turisticos,Campaign negative,Exact
Search - Resor,,all inclusive vacations costa rica,Campaign negative,Exact
Search - Resor,,costa rica fishing packages,Campaign negative,Exact
Search - Resor,,costco travel costa rica,Campaign negative,Exact
Search - Resor,,costa rica discounts,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,namu travel,Negative,Exact
Search - Resor,Luxury Packages,nekajui a ritz carlton,Negative,Exact
Search - Resor,All-Inclusive & Custom,costa rica the westin reserva conchal package,Negative,Exact
Search - Resor,All-Inclusive & Custom,the westin in costa rica,Negative,Exact
Search - Resor,,excursiones en costa rica,Campaign negative,Exact
Search - Resor,Trip planner,costa rica gate 1 travel,Negative,Exact
Search - Resor,,costa rica trip itinerary 7 days,Campaign negative,Exact
Search - Resor,,must sees in costa rica,Campaign negative,Exact
Search - Resor,,costco travel costa rica,Campaign negative,Exact
Search - Resor,,guanacaste westin costa rica,Campaign negative,Exact
Search - Resor,,bungalow costa rica,Campaign negative,Exact
Search - Resor,,6 day itinerary costa rica,Campaign negative,Exact
Search - Resor,All-Inclusive & Custom,hilton puntarenas costa rica,Negative,Exact
Search - Resor,,costa rica honeymoon itinerary,Campaign negative,Exact
Search - Resor,Trip planner,tripmasters costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,nauyaca waterfall tour,Negative,Exact
Search - Resor,All-Inclusive & Custom,occidental costa rica,Negative,Exact
Search - Resor,All-Inclusive & Custom,westin playa conchal costa rica,Negative,Exact
Search - Resor,Luxury Packages,nekajui peninsula papagayo a ritz carlton reserve prices,Negative,Exact
Search - Resor,Travel Agent & Agency,pura vida travelling,Negative,Exact
Search - Resor,,costco travel costa rica,Campaign negative,Exact
Search - Resor,All-Inclusive & Custom,occidental papagayo culebra bay costa rica,Negative,Exact
Search - Resor,,costa rica vacaciones 2026,Campaign negative,Exact
Search - Resor,,vacaciones a costa rica,Campaign negative,Exact
Search - Resor,All-Inclusive & Custom,vacation package in costa rica,Negative,Exact
Search - Resor,All-Inclusive & Custom,costa rica the westin reserva conchal,Negative,Exact
Search - Resor,All-Inclusive & Custom,all exclusive trips to costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,tours costa rica san jose,Negative,Exact
Search - Resor,All-Inclusive & Custom,paradisus playa conchal,Negative,Exact
Search - Resor,,costa rica 3 days itinerary,Campaign negative,Exact
Search - Resor,Family Packages,costa rica with children,Negative,Exact
Search - Resor,All-Inclusive & Custom,westin reserva conchal guanacaste costa rica,Negative,Exact
Search - Resor,,vacaciones en costa rica,Campaign negative,Exact
Search - Resor,Luxury Packages,achioté villa costa rica,Negative,Exact
Search - Resor,,costa rica excursion,Campaign negative,Exact
Search - Resor,,tabacon costa rica,Campaign negative,Exact
Search - Resor,All-Inclusive & Custom,costa rica resort vacation packages,Negative,Exact
Search - Resor,Travel Agent & Agency,best way to get around in costa rica,Negative,Exact
Search - Resor,,day tours costa rica,Campaign negative,Exact
Search - Resor,,best tourist spots in costa rica,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,costa rica expeditions,Negative,Exact
Search - Resor,Travel Agent & Agency,national geographic costa rica,Negative,Exact
Search - Resor,,groupon costa rica deal,Campaign negative,Exact
Search - Resor,All-Inclusive & Custom,costa rica all exclusive,Negative,Exact
Search - Resor,Travel Agent & Agency,best place to stay in costa rica for beach and adventure,Negative,Exact
Search - Resor,Travel Agent & Agency,tropical tours shuttles costa rica,Negative,Exact
Search - Resor,,tourist costa rica,Campaign negative,Exact
Search - Resor,,guanacaste westin costa rica,Campaign negative,Exact
Search - Resor,Trip planner,plan a trip to costa rica,Negative,Exact
Search - Resor,,costco travel costa rica all inclusive,Campaign negative,Exact
Search - Resor,All-Inclusive & Custom,packages to costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,arenal volcano tours,Negative,Exact
Search - Resor,Luxury Packages,ritz carlton costa rica,Negative,Exact
Search - Resor,All-Inclusive & Custom,dreams la mareas costa rica,Negative,Exact
Search - Resor,,costa rica trip itinerary 7 days,Campaign negative,Exact
Search - Resor,Luxury Packages,andaz in costa rica,Negative,Exact
Search - Resor,All-Inclusive & Custom,packages to costa rica,Negative,Exact
Search - Resor,,paquetes a costa rica,Campaign negative,Exact
Search - Resor,,costco travel packages costa rica,Campaign negative,Exact
Search - Resor,All-Inclusive & Custom,azura beach resort costa rica,Negative,Exact
Search - Resor,,westin costa rica all inclusive,Campaign negative,Exact
Search - Resor,All-Inclusive & Custom,westin conchal costa rica,Negative,Exact
Search - Resor,,costco travel costa rica,Campaign negative,Exact
Search - Resor,,costco travel costa rica packages,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,costa rica 6 days,Negative,Exact
Search - Resor,All-Inclusive & Custom,trip packages to costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,costa rica overwater bungalows,Negative,Exact
Search - Resor,All-Inclusive & Custom,costa rica westin reserva conchal,Negative,Exact
Search - Resor,,paquetes costa rica,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,costa rica volcano tours,Negative,Exact
Search - Resor,Travel Agent & Agency,guti tours costa rica,Negative,Exact
Search - Resor,Luxury Packages,the springs resort & spa at arenal la fortuna costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,cr wild,Negative,Exact
Search - Resor,,costa rica 3 days itinerary,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,atv riding in costa rica,Negative,Exact
Search - Resor,,costa rica solo female travel itinerary,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,costa rica solo travel,Negative,Exact
Search - Resor,Luxury Packages,tabacón location,Negative,Exact
Search - Resor,All-Inclusive & Custom,the westin golf resort spa playa conchal prices,Negative,Exact
Search - Resor,,hostels costa rica,Campaign negative,Exact
Search - Resor,Travel Agent & Agency,freddy campos tours costa rica,Negative,Exact
Search - Resor,Travel Agent & Agency,tours in san jose costa rica,Negative,Exact
Search - Resor,All-Inclusive & Custom,costa rica the westin reserva conchal package,Negative,Exact
Search - Resor,,top 5 tourist attractions in costa rica,Campaign negative,Exact
Search - Resor,,hostels in costa rica on the beach,Campaign negative,Exact
Search - Resor,,costa rica excursion,Campaign negative,Exact
Search - Resor,,getting around costa rica without a car,Campaign negative,Exact
Search - Resor,,must do things in costa rica,Campaign negative,Exact
Search - Resor,All-Inclusive & Custom,the westin conchal costa rica,Negative,Exact
Search - Resor,,costco travel costa rica packages,Campaign negative,Exact
Search - Resor,,hostels in san jose costa rica,Campaign negative,Exact
