Search term,Campaign,Ad group,Match type,Added/Excluded,Clicks,Impr.,Cost,Conversions,RECOMMENDATION,NEG LEVEL,REASON
sport time camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
futures camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
2way camp,CM - Nonbranded - Other Geos (MxConv),Lacrosse Camps,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Lacrosse Camps'
camp registration,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
westchester kids,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
volley ball camp,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,Exact match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Volleyball Camps'
lu high summer camp,CM - Competitors - OldW - (Mx.Clicks),Competitors,Exact match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,CAMPAIGN,No competitor signal - not relevant for competitors campaign
hoopgroup camp,CM - Nonbranded - Other Geos (MxConv),Basketball Camp,Phrase match (close variant),None,0,1,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Basketball Camp'
sports for kids near me,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,1,3,1.95,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Tennis Camps'
camp for 14 year old girl,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,5,0.00,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Soccer Camps'
qb camps,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,Phrase match (close variant),None,1,1,1.44,0.00,ADD NEGATIVE,AD GROUP,Off-theme for ad group 'Football Camps'
academic summer camps,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
age 4 summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
laurel hill school summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,2,0.00,0.00,OK,,Appears relevant
summer camp long island,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Exact match (close variant),None,0,13,0.00,0.00,OK,,Appears relevant
afternoon camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
fastpitch softball camp,CM - Nonbranded - Other Geos (MxConv),Softball Camps,Phrase match,None,0,2,0.00,0.00,OK,,Appears relevant
driftwood day camp,CM - Competitors - OldW - (Mx.Clicks),Competitors,Exact match,Added,0,13,0.00,0.00,OK,,Competitor matched: 'driftwood'
summer volleyball camps,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,Exact match (close variant),None,0,3,0.00,0.00,OK,,Appears relevant
summer camp for 5 year olds near me,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,1,1,1.82,0.00,OK,,Appears relevant
badger day camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
volleyball camps,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,Exact match,Added,0,2,0.00,0.00,OK,,Appears relevant
summer camp garden city,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
riverside tennis camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Phrase match,None,0,2,0.00,0.00,OK,,Appears relevant
east meadow summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,1,2,3.98,0.00,OK,,Appears relevant
summer camp near me,CM - pMax - Portland (MxConv),--,Performance Max,None,0,2,0.00,0.00,OK,,Appears relevant for Portland market
young people's day camp central islip,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
summer camps for kids in maine,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,OK,,Appears relevant for Portland market
tennis camp for kids,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,1,1,2.11,0.00,OK,,Appears relevant
field hockey camps on long island,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
boys and girls club summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
basketball camp long island,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
camp for 14 year old girl,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
swimming camps near me,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
day camps long island,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,1,2,3.03,0.00,OK,,Appears relevant
luhi camp,CM - Competitors - OldW - (Mx.Clicks),Competitors,Exact match,Added,1,8,4.15,0.00,OK,,Competitor matched: 'luhi'
hofstra basketball camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
tennis camps long island,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,1,1,1.57,0.00,OK,,Appears relevant
art camp near me,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
summer camps near by,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
buckley day camp,CM - Competitors - OldW - (Mx.Clicks),Competitors,Exact match (close variant),None,0,9,0.00,0.00,OK,,Competitor matched: 'buckley'
high school size soccer ball,CM - pMax - Portland (MxConv),--,Performance Max,None,1,1,0.30,0.00,OK,,Appears relevant for Portland market
summer day camps for kids near me,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
cheverus basketball camp,CM - Nonbranded - Other Geos (MxConv),Basketball Camp,Phrase match,None,1,3,3.41,0.00,OK,,Appears relevant
football camp,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,Exact match,Added,0,2,0.00,0.00,OK,,Appears relevant
summer camps near me 2026,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,2,0.00,0.00,OK,,Appears relevant
hofstra camp,CM - Competitors - OldW - (Mx.Clicks),Competitors,Exact match,Added,0,2,0.00,0.00,OK,,Competitor matched: 'hofstra'
basketball camps in maine,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,OK,,Appears relevant for Portland market
summer camps nassau county,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
lindenhurst summer camp 2026,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
lax camp,CM - Nonbranded - Other Geos (MxConv),Lacrosse Camps,Exact match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
swish camp usm,CM - pMax - Portland (MxConv),--,Performance Max,None,0,3,0.00,0.00,OK,,Appears relevant for Portland market
center day camp maine,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,OK,,Appears relevant for Portland market
future stars patchogue,CM - Branded (Mx.Clicks),Future Stars Camp Brand,Phrase match (close variant),None,1,4,0.62,0.00,OK,,Brand term matched: 'future stars'
future stars volleyball camp,CM - Branded (Mx.Clicks),Future Stars Camp Brand,Phrase match,None,1,1,1.26,0.00,OK,,Brand term matched: 'future stars'
usm camps,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,OK,,Appears relevant for Portland market
old westbury camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Exact match (close variant),Added,0,1,0.00,0.00,OK,,Appears relevant
tennis camp for kids,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
robotics camp long island,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,1,2,1.79,0.00,OK,,Appears relevant
lacrosse camps in new york,CM - Nonbranded - Geo Priorities (MxCx),Lacrosse Camps,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
st joseph's volleyball camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,OK,,Appears relevant for Portland market
girls volleyball camp,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,Phrase match,None,0,2,0.00,0.00,OK,,Appears relevant
harbor summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
lake grove summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,1,2,2.98,0.00,OK,,Appears relevant
ymcali org camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
future stars camp locations,CM - Branded (Mx.Clicks),Future Stars Camp Brand,Exact match (close variant),None,1,2,0.76,0.00,OK,,Brand term matched: 'future stars'
local camps,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
liu lacrosse camp,CM - Nonbranded - Geo Priorities (MxCx),Lacrosse Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
day camp long island,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
hastings day camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
future stars camp,CM - Branded (Mx.Clicks),Future Stars Camp Brand,Exact match,Added,24,44,23.87,0.00,OK,,Brand term matched: 'future stars'
flag football camp summer,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
hofstra lacrosse summer camp,CM - Nonbranded - Geo Priorities (MxCx),Lacrosse Camps,Phrase match,None,1,1,1.51,0.00,OK,,Appears relevant
day camp long island,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
buckley camp,CM - Competitors - OldW - (Mx.Clicks),Competitors,Exact match,Added,0,3,0.00,0.00,OK,,Competitor matched: 'buckley'
red storm basketball camp,CM - Nonbranded - Other Geos (MxConv),Basketball Camp,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
summer camps near me basketball,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,Exact match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
bolles summer camp 2026,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,2,0.00,0.00,OK,,Appears relevant
spartans basketball camp,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,Phrase match,None,1,2,3.46,0.00,OK,,Appears relevant
freeport rec center summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,2,0.00,0.00,OK,,Appears relevant
camp harbor st james,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
usa sports camps,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Broad match,None,0,1,0.00,0.00,OK,,Appears relevant
mitchell pehlke lacrosse camp,CM - Nonbranded - Geo Priorities (MxCx),Lacrosse Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
summer volleyball camp,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,Exact match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
swimming camp long island,CM - Nonbranded - Geo Priorities (MxCx),Sports Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
sua sponte lacrosse,CM - Nonbranded - Other Geos (MxConv),Lacrosse Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
apex tennis camp,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,Phrase match,None,0,2,0.00,0.00,OK,,Appears relevant
une basketball camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,OK,,Appears relevant for Portland market
volleyball camp for kids,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
levittown summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
softball clinic,CM - Nonbranded - Geo Priorities (MxCx),Softball Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
soccer camps,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Exact match,Added,0,1,0.00,0.00,OK,,Appears relevant
camp rays,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
softball camps long island,CM - Nonbranded - Other Geos (MxConv),Softball Camps,Phrase match,Added,0,2,0.00,0.00,OK,,Appears relevant
gallery north summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
luhi basketball,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,Phrase match (close variant),None,0,3,0.00,0.00,OK,,Appears relevant
camp timberlake,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
st joseph's summer camps,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
waynflete summer camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,OK,,Appears relevant for Portland market
bay shore summer camps,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
teen summer camps near me,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
volleyball beginners near me,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,Phrase match (close variant),None,0,16,0.00,0.00,OK,,Appears relevant
long island teen camps,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Exact match (close variant),None,0,4,0.00,0.00,OK,,Appears relevant
best soccer summer camps near me,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Exact match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
camprus,CM - Competitors - OldW - (Mx.Clicks),Competitors,Exact match (close variant),None,0,2,0.00,0.00,OK,,Competitor matched: 'camprus'
kim hillier lacrosse camps,CM - Nonbranded - Geo Priorities (MxCx),Lacrosse Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
gorham arts alliance summer camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,OK,,Appears relevant for Portland market
lacrosse goalie camps 2026,CM - Nonbranded - Other Geos (MxConv),Lacrosse Camps,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
mineola summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
youth summer golf camps near me,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
summer camps for 15 year old,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
brentwood summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
luhi summer,CM - Competitors - OldW - (Mx.Clicks),Competitors,Exact match (close variant),None,0,1,0.00,0.00,OK,,Competitor matched: 'luhi'
soccer camp long island,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match,None,1,5,2.93,0.00,OK,,Appears relevant
art camp long island,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
oasis day camp,CM - Competitors - OldW - (Mx.Clicks),Competitors,Exact match,Added,0,3,0.00,0.00,OK,,Competitor matched: 'oasis'
maine summer camps,CM - pMax - Portland (MxConv),--,Performance Max,None,0,2,0.00,0.00,OK,,Appears relevant for Portland market
usm stem camp,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,OK,,Appears relevant for Portland market
basketball camps westchester,CM - Nonbranded - Other Geos (MxConv),Basketball Camp,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
hofstra volleyball camp,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
basketball camp,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,Exact match,Added,0,1,0.00,0.00,OK,,Appears relevant
usm summer camps,CM - pMax - Portland (MxConv),--,Performance Max,None,0,2,0.00,0.00,OK,,Appears relevant for Portland market
tumbling summer camp,CM - Nonbranded - Geo Priorities (MxCx),Sports Camps,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
kids baseball camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
theater camp near me,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,4,8,5.56,0.00,OK,,Appears relevant
flag football camp,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
tarrytown camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
baseball summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,3,0.00,0.00,OK,,Appears relevant
lacrosse camps long island,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,1,3,3.52,0.00,OK,,Appears relevant
summer camp soccer,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match (close variant),None,0,3,0.00,0.00,OK,,Appears relevant
summer camps for teens near me,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,2,0.00,0.00,OK,,Appears relevant
summer camp li,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
future stars brentwood,CM - Branded (Mx.Clicks),Future Stars Camp Brand,Phrase match,None,0,3,0.00,0.00,OK,,Brand term matched: 'future stars'
regulation size soccer ball,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,OK,,Appears relevant for Portland market
horse riding camps for kids,CM - Nonbranded - Geo Priorities (MxCx),Horseback Riding,Phrase match,None,1,4,3.51,0.00,OK,,Appears relevant
soccer camp,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Exact match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
future star summer camp,CM - Branded (Mx.Clicks),Future Stars Camp Brand,Exact match (close variant),None,1,2,2.80,0.00,OK,,Brand term matched: 'future star'
cheer camp,CM - Nonbranded - Geo Priorities (MxCx),Sports Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
goalkeeper soccer camps,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match,None,0,3,0.00,0.00,OK,,Appears relevant
maine volleyball academy,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,OK,,Appears relevant for Portland market
phelps lane north babylon summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
volleyball camp for kids near me,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
volleyball camp for kids near me,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
future stars summer camps,CM - Branded (Mx.Clicks),Future Stars Camp Brand,Exact match (close variant),None,5,7,2.71,0.00,OK,,Brand term matched: 'future stars'
3d lacrosse,CM - pMax - Portland (MxConv),--,Performance Max,None,0,1,0.00,0.00,OK,,Appears relevant for Portland market
summer kids golf camp near me,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
summer camps new hyde park,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,3,0.00,0.00,OK,,Appears relevant
kidstrong summer camp,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
soccer camp near me summer 2026,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,Phrase match,None,0,1,0.00,0.00,OK,,Appears relevant
summer camps in my area,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Exact match (close variant),None,1,6,2.96,0.00,OK,,Appears relevant
summer camps for kids near me,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Exact match (close variant),None,0,1,0.00,0.00,OK,,Appears relevant
summer camp for 12 year old girls,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match,None,0,2,0.00,0.00,OK,,Appears relevant
summer soccer camps near me,CM - pMax - Portland (MxConv),--,Performance Max,None,0,3,0.00,0.00,OK,,Appears relevant for Portland market
basketball camp for 7 year olds,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,Phrase match,None,1,1,1.71,0.00,OK,,Appears relevant
nassau county day camps,CM - Nonbranded - Geo Priorities (MxCx),Summer Camps,Phrase match (close variant),None,0,2,0.00,0.00,OK,,Appears relevant
usm summer sports camps,CM - pMax - Portland (MxConv),--,Performance Max,None,0,5,0.00,0.00,OK,,Appears relevant for Portland market
