Account,Account name,Campaign,Ad Group,Account keyword type,Keyword,Criterion Type,Status,Comment
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,pierce day camp tuition,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,icamp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,fscamp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,kids soccer ball sizes by age,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,how to measure tennis racket size,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,scarsdale camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,southampton camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,merrick woods camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,camps for 14 year old,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,westchester county camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,ymca sleepaway camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,town of hempstead camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,usa talent id camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,mygym camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,how to dribble good in soccer,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,driftwood camp melville,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,u11 soccer ball size,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size soccer ball for 9 year old,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Lacrosse Camps,None,lax and leadership camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,hofstra summer camp schedule,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,camp june 23,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,kids gym westchester,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Basketball Camp,None,donovan mitchell camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,hofstra summer camp 2026,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,sleepaway summer camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,summer explorers camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,None,top 100 camp 2025,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,baseball tips for little league,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,kids sport near me,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,sag harbor camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,kid soccer ball sizes,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,driftwood day camp cost,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,soccer drills for 12 year olds,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size soccer ball for 6 year old,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,how to sail an optimist,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,kidstrong,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,rec center camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,pierce day camp long island,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,camp westchester,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,primetime camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,long island camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size ball does u12 soccer use,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,camp iconic bellmore,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size ball for 12 year old,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,None,volleyvall near me,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,next level camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Dance Camps,None,ballet camps summer 2026,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,driftwood day camp prices,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size tennis racket for 10 year old,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,kids strong camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,pierce day camp prices,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,None,camp rince ceol,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,adventure camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,None,aab summer intensive,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Lacrosse Camps,None,sua sponte camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,sleepaway camp packing,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Basketball Camp,None,steady buckets,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,camp in long island,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,acting classes for kids nyc,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,None,ballet summer intensives,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,camp condor white plains,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,long island university football camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,91 camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size ball for 10 year old,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,girls and boys camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,just for kicks east islip,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,southampton camp and club,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,good hitting drills for youth baseball,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,kid strong,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,piers camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,None,malik nabers camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Horseback Riding,None,horse camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,camp for 13 year old boy,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,luhi summer camp schedule,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,None,unh prospect camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,wantagh park camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Football Camps,None,jaxson dart camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,hamptons camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,camps for underprivileged youth,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,None,ballet intensives summer 2026,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,kid camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,fscamp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,None,ballet camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,how to play golf for beginners,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,None,how much is the joffrey summer intensive,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,camps r us long island,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size soccer ball for 8 year old,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,camps long island,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,camp for teens summer,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Basketball Camp,None,karl towns camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,camps r us hicksville calendar,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,camps r us locations,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,westchester recreation,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,tennis footwork drills,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size tennis racquet for a 6 year old,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,programs for the summer for kids,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,westchester camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,None,game 7 camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,None,jaxson dart camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,local camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,atletico camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,luhi camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,child camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,shibley day camp warner avenue roslyn heights ny,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,None,george pickens camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Football Camps,None,southampton soccer camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size tennis racquet for 5 year old,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,summer fun camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,all stars camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,ross camp hamptons,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,boys and girls club camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,psg camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,None,austin reeves camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,None,bballstars,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,camps r us near me,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,boys and girls club camp hours,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size tennis racket for 10 year old boy,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,suny purchase camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,how to help shy toddler,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,elmsford camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,shibley day camp cost,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,camp summit,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,hofstra summer camp 2026,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,None,jalen brunson camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,how to sail a sailboat,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,suffolk county camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Basketball Camp,None,myway45,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,None,usa talent id camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,camp w long island,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,teen camps long island,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Softball Camps,None,prospect performance farmingdale,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,camps in westchester ny,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,luhi summer camp basketball,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,arsenal camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,oasis camp near me,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,pierce summer camp 2026,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size soccer ball for 10 year old,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,soccer ball sizes,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,kenwal day camp prices,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,tia white plains,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,camps in westchester,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,all stars camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,soccer ball size by age,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,scarsdale camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,esf camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,goal keeper camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,None,hoop lab roslyn mini,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,driftwood day camp melville ny,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,None,pfa camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,None,ballet camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,dribbling drills basketball,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Baseball Camps,None,pitching camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,camp forest hills,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,None,liu mega camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what to do in melville ny,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,camps in white plains ny,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,weekly camps westchester,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,None,bbstars,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,None,camp palooza,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,camp loyaltown 2026,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Dance Camps,None,ballet summer intensives,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,summer kid programs near me,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,driftwood day camp tuition,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,None,wesleyan red and black camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Football Camps,None,air it out,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,None,summer ballet intensives near me,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,affordable sleepaway camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size soccer ball for 11 year old boy,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,luhi camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,summer fun camp 2026,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size soccer ball for a 7 year old,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,camp w melville,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,u12 soccer ball size,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Lacrosse Camps,None,mitchell pehlke camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,camp ramapo for children,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size soccer ball for kids,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,recreation center near me,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,summer sports programs for kids near me,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,None,hoops 101,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,barcelona camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,garden city baseball camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,fastbreak camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Basketball Camp,None,dribbl camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),,None,kenwal day camp schedule,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Horseback Riding,None,camp horseability,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - pMax - Portland (MxConv),,None,what size soccer ball for middle school,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,None,kid strong camp,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,camp tsr,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Other Geos (MxConv),Tennis Camps,None,smithtown camps,Negative Exact,Enabled,
535-324-5686,Future Stars,CM - Nonbranded - Geo Priorities (MxCx),Dance Camps,None,cli summer intensive,Negative Exact,Enabled,
